code;name;gen_cat;comb_cls;bidi_cat;dec_map;dec_dig_val;dig_val;num_val;mir;one_name;cmt;uc;lc;tc
101632;TANGUT IDEOGRAPH-18D00;Lo;0;L;;;;;N;;;;;
101633;TANGUT IDEOGRAPH-18D01;Lo;0;L;;;;;N;;;;;
101634;TANGUT IDEOGRAPH-18D02;Lo;0;L;;;;;N;;;;;
101635;TANGUT IDEOGRAPH-18D03;Lo;0;L;;;;;N;;;;;
101636;TANGUT IDEOGRAPH-18D04;Lo;0;L;;;;;N;;;;;
101637;TANGUT IDEOGRAPH-18D05;Lo;0;L;;;;;N;;;;;
101638;TANGUT IDEOGRAPH-18D06;Lo;0;L;;;;;N;;;;;
101639;TANGUT IDEOGRAPH-18D07;Lo;0;L;;;;;N;;;;;
101640;TANGUT IDEOGRAPH-18D08;Lo;0;L;;;;;N;;;;;
